Price,Title,URL,Author
"$ 49 99 ",,,
"$ 5 25 ",An Industrial Automation: Industrial PLC Programming & Network System Basics (Series),https://www.amazon.com/Industrial-Automation-Programming-Network-System/dp/1983211923/ref=sr_1_14?s=books&ie=UTF8&qid=1539787717&sr=1-14&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Ragunath Ram
"$ 15 84 ",Marketing Automation For Dummies (For Dummies Series),https://www.amazon.com/Marketing-Automation-Dummies-Mathew-Sweezey/dp/1118772229/ref=sr_1_15?s=books&ie=UTF8&qid=1539787717&sr=1-15&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Mathew Sweezey
"$ 12 99 ",Digital Workforce: Reduce Costs and Improve Efficiency using Robotic Process Automation,https://www.amazon.com/Digital-Workforce-Improve-Efficiency-Automation/dp/1724836137/ref=sr_1_16?s=books&ie=UTF8&qid=1539787717&sr=1-16&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Mr Rob King
"$ 50 56 ",Introduction to the ControlLogix Programmable Automation Controller with Labs,https://www.amazon.com/Introduction-ControlLogix-Programmable-Automation-Controller/dp/1111539294/ref=sr_1_17?s=books&ie=UTF8&qid=1539787717&sr=1-17&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Gary A. Dunning
"$ 8 99 ",,,
"$ 34 99 ",,,
"$ 19 99 ",,,
"$ 6 00 ",Automation: Problem and Solution,https://www.amazon.com/Automation-Problem-Solution-Oswald-Mosley/dp/1908476613/ref=sr_1_22?s=books&ie=UTF8&qid=1539787717&sr=1-22&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Oswald Mosley
"$ 85 45 ",,,
"$ 26 99 ","Automation, Production Systems, And Computer-Integrated Manufacturing, 4 Ed",https://www.amazon.com/Automation-Production-Systems-Computer-Integrated-Manufacturing/dp/9332572496/ref=sr_1_24?s=books&ie=UTF8&qid=1539787717&sr=1-24&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Mikell P. Groover
"$ 19 99 ",Test Automation in the Real World: Practical Lessons for Automated Testing,https://www.amazon.com/Test-Automation-Real-World-Practical/dp/1520745923/ref=sr_1_27?s=books&ie=UTF8&qid=1539787718&sr=1-27&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Greg Paskal
"$ 19 00 ",,,
"$ 39 99 ",,,
"$ 10 99 ",,,
"$ 44 99 ",,,
"$ 29 99 ",,,
"$ 99 00 ","The Automation, Systems, and Instrumentation Dictionary",https://www.amazon.com/Automation-Systems-Instrumentation-Dictionary/dp/155617778X/ref=sr_1_31?s=books&ie=UTF8&qid=1539787718&sr=1-31&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Theodore G. Dimon
"$ 16 95 ",Marketing Automation Foundation: Eliminating Unproductive Marketing,https://www.amazon.com/Marketing-Automation-Foundation-Eliminating-Unproductive/dp/1521309248/ref=sr_1_32?s=books&ie=UTF8&qid=1539787718&sr=1-32&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Steve Thomas and Brian Thomas
"$ 35 99 ",,,
"$ 140 62 ",Building Automation Systems A To Z: How To Survive In A World Full Of Bas,https://www.amazon.com/Building-Automation-Systems-Survive-World/dp/1539914488/ref=sr_1_34?s=books&ie=UTF8&qid=1539787718&sr=1-34&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Phil Zito
"$ 91 15 ",Management Information Systems and Workflow Automation,https://www.amazon.com/Management-Information-Systems-Workflow-Automation/dp/1910507121/ref=sr_1_35?s=books&ie=UTF8&qid=1539787718&sr=1-35&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Michael Fairley
"$ 17 00 ",The Promise of Total Automation,https://www.amazon.com/Promise-Total-Automation-Anne-Faucheret/dp/3956793579/ref=sr_1_36?s=books&ie=UTF8&qid=1539787718&sr=1-36&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Anne Faucheret and David Jourdan
"$ 15 00 ",Automation vs. Autocracy: Robogeddon En Route,https://www.amazon.com/Automation-vs-Autocracy-Robogeddon-Route/dp/1980715270/ref=sr_1_39?s=books&ie=UTF8&qid=1539787722&sr=1-39&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Atif A K
"$ 44 99 ",,,
"$ 49 99 ",,,
"$ 39 99 ",,,
"$ 35 93 ",,,
"$ 53 69 ",Experiences of Test Automation: Case Studies of Software Test Automation,https://www.amazon.com/Experiences-Test-Automation-Studies-Software/dp/0321754069/ref=sr_1_42?s=books&ie=UTF8&qid=1539787722&sr=1-42&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Dorothy Graham and Mark Fewster
"$ 9 00 ","Instrumentation, Automation, IoT and Emerging Technologies for Engineers: Handbook",https://www.amazon.com/Instrumentation-Automation-Emerging-Technologies-Engineers/dp/198088093X/ref=sr_1_43?s=books&ie=UTF8&qid=1539787722&sr=1-43&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Madhukar Varshney and Sanjay Galhan
"$ 24 99 ",Raspberry Pi Home Automation with Arduino - Second Edition,https://www.amazon.com/Raspberry-Pi-Home-Automation-Arduino/dp/1784399205/ref=sr_1_44?s=books&ie=UTF8&qid=1539787722&sr=1-44&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Andrew K. Dennis
"$ 13 97 ",,,
"$ 12 95 ",,,
"$ 34 99 ",,,
"$ 24 98 ",,,
"$ 14 35 ","Superintelligence: Paths, Dangers, Strategies",https://www.amazon.com/Superintelligence-Dangers-Strategies-Nick-Bostrom/dp/0198739834/ref=sr_1_51?s=books&ie=UTF8&qid=1539787726&sr=1-51&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Nick Bostrom
"$ 33 40 ","Pragmatic Project Automation: How to Build, Deploy, and Monitor Java Apps",https://www.amazon.com/Pragmatic-Project-Automation-Deploy-Monitor/dp/0974514039/ref=sr_1_52?s=books&ie=UTF8&qid=1539787726&sr=1-52&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Mike Clark
"$ 13 97 ",,,
"$ 79 00 ",101 Tips for a Successful Automation Career,https://www.amazon.com/101-Tips-Successful-Automation-Career/dp/1937560503/ref=sr_1_54?s=books&ie=UTF8&qid=1539787726&sr=1-54&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Gregory McMillan and Hunter Vegas
"$ 19 99 ",,,
"$ 6 99 ",Mix Automation for the Small Recording Studio,https://www.amazon.com/Mix-Automation-Small-Recording-Studio/dp/1985065029/ref=sr_1_54?s=books&ie=UTF8&qid=1539787726&sr=1-54&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Mr Amos P Clarke
"$ 106 30 ",VLSI Physical Design Automation: Theory and Practice,https://www.amazon.com/VLSI-Physical-Design-Automation-Practice/dp/9810238835/ref=sr_1_55?s=books&ie=UTF8&qid=1539787726&sr=1-55&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Sadiq M Sait
"$ 12 99 ",,,
"$ 12 23 ",The Inevitable: Understanding the 12 Technological Forces That Will Shape Our Future,https://www.amazon.com/Inevitable-Understanding-Technological-Forces-Future/dp/0143110373/ref=sr_1_57?s=books&ie=UTF8&qid=1539787726&sr=1-57&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Kevin Kelly
"$ 18 99 ",Smart Home Automation Essential Guides - The Complete Series,https://www.amazon.com/Smart-Home-Automation-Essential-Guides/dp/1520491484/ref=sr_1_58?s=books&ie=UTF8&qid=1539787726&sr=1-58&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Gerard O'Driscoll
"$ 5 45 ",Automation Works: Turning Your Marketing from a Money-Pit into a Money-Making MACHINE!,https://www.amazon.com/Automation-Works-Marketing-Money-Pit-Money-Making/dp/0997969601/ref=sr_1_59?s=books&ie=UTF8&qid=1539787726&sr=1-59&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Kathy Swanson
"$ 75 70 ",Software Test Automation,https://www.amazon.com/Software-Test-Automation-Mark-Fewster/dp/0201331403/ref=sr_1_60?s=books&ie=UTF8&qid=1539787726&sr=1-60&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Mark Fewster and Dorothy Graham
"$ 44 95 ",,,
"$ 74 69 ",,,
"$ 39 99 ",,,
"$ 20 14 ",Business Process Automation with ProcessMaker 3.1: A Beginner’s Guide,https://www.amazon.com/Business-Process-Automation-ProcessMaker-3-1/dp/1484233441/ref=sr_1_66?s=books&ie=UTF8&qid=1539787730&sr=1-66&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Dipo Majekodunmi
"$ 69 99 ",.NET Test Automation Recipes: A Problem-Solution Approach (Expert's Voice in .NET),https://www.amazon.com/NET-Test-Automation-Recipes-Problem-Solution/dp/1484220226/ref=sr_1_65?s=books&ie=UTF8&qid=1539787730&sr=1-65&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by James McCaffrey
"$ 44 99 ",Automating Junos Administration: Doing More with Less,https://www.amazon.com/Automating-Junos-Administration-Doing-More/dp/1491928883/ref=sr_1_66?s=books&ie=UTF8&qid=1539787730&sr=1-66&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Jonathan Looney and Stacy Smith
"$ 6 95 ",The Automation: Vol. 1 of the Circo del Herrero Series (Volume 1),https://www.amazon.com/Automation-Vol-Circo-del-Herrero/dp/0692259716/ref=sr_1_67?s=books&ie=UTF8&qid=1539787730&sr=1-67&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Anonymous and B.L.A.
"$ 19 99 ",Intro to Marketing Automation: Maximize Your Advertising ROI,https://www.amazon.com/Intro-Marketing-Automation-Maximize-Advertising/dp/1516838505/ref=sr_1_68?s=books&ie=UTF8&qid=1539787730&sr=1-68&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Todd Kelsey
"$ 25 00 ",,,
"$ 41 50 ",Just Enough Software Test Automation,https://www.amazon.com/Just-Enough-Software-Test-Automation/dp/0130084689/ref=sr_1_70?s=books&ie=UTF8&qid=1539787730&sr=1-70&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Daniel J. Mosley and Bruce A. Posey
"$ 6 99 ",,,
"$ 34 99 ",,,
"$ 47 43 ",Test Automation using Selenium WebDriver with Java: Step by Step Guide,https://www.amazon.com/Test-Automation-using-Selenium-WebDriver/dp/0992293510/ref=sr_1_74?s=books&ie=UTF8&qid=1539787735&sr=1-74&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Mr Navneesh Garg
"$ 12 95 ",,,
"$ 266 00 ",,,
,"Automation, Production Systems, and Computer-Integrated Manufacturing, Global Edition",https://www.amazon.com/Automation-Production-Systems-Computer-Integrated-Manufacturing/dp/1292076119/ref=sr_1_77?s=books&ie=UTF8&qid=1539787735&sr=1-77&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by GROOVER MIKELL
"$ 13 26 ",An Automation Primer for School Library Media Centers,https://www.amazon.com/Automation-Primer-School-Library-Centers/dp/1586831801/ref=sr_1_78?s=books&ie=UTF8&qid=1539787735&sr=1-78&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Barbara Schultz-Jones
"$ 64 85 ","Automation Network Selection: A Reference Manual, Third Edition",https://www.amazon.com/Automation-Network-Selection-Reference-Manual/dp/1941546803/ref=sr_1_79?s=books&ie=UTF8&qid=1539787735&sr=1-79&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Dick Caro
"$ 22 46 ",Essential Electronic Design Automation (EDA),https://www.amazon.com/Essential-Electronic-Design-Automation-EDA/dp/0131828290/ref=sr_1_80?s=books&ie=UTF8&qid=1539787735&sr=1-80&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Mark D. Birnbaum
"$ 13 97 ",,,
"$ 9 99 ",Computer Automation for Everyone: A Stairway to Users,https://www.amazon.com/dp/1728820049/ref=sr_1_82?s=books&ie=UTF8&qid=1539787735&sr=1-82&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by James Wills
